Word;Translation;Sentence;SentenceTranslation
dobra;good, fine;Wszystko w porządku? - Tak, jestem w dobrej formie.;Is everything good? - Yes, I'm fine.
kto;who;Kto jest tym mężczyzną?;Who is that man?
nigdy;never;Nigdy nie jadłem sushi.;I've never eaten sushi.
przepraszam;I'm sorry;Przepraszam, że spóźniłem się na spotkanie.;I'm sorry for being late to the meeting.
mu;him;Daj mu ten prezent na urodziny.;Give him this gift for his birthday.
naprawdę;really;Cieszę się, że naprawdę mi pomogłeś.;I'm glad that you really helped me.
możesz;you can;Czy możesz mi pomóc z tym zadaniem?;Can you help me with this task?
chyba;probably, I think;Chyba pójdę do kina wieczorem.;I think I'll go to the cinema in the evening.
porządku;okay, all right;Czy wszystko w porządku?;Is everything okay?
dziękuję;thank you;Dziękuję za pomoc.;Thank you for your help.
właśnie;just, exactly;Właśnie o tym myślałem.;I was just thinking about that.
domu;home;Jestem już w domu po pracy.;I'm already home after work.
zrobić;to do;Muszę zrobić zakupy na obiad.;I need to do the grocery shopping for dinner.
nawet;even;Ona jest bardzo inteligentna, nawet bardziej niż ja.;She is very intelligent, even more than me.
gdy;when;Gdy byłem dzieckiem, lubiłem bawić się w parku.;When I was a child, I liked to play in the park.
te;these;Te książki są bardzo interesujące.;These books are very interesting.
nam;us;Oni podarowali nam piękny prezent.;They gave us a beautiful gift.
będę;I will;Będę gotowy o 8 rano.;I will be ready at 8 a.m.
zawsze;always;Zawsze staram się być uczciwym człowiekiem.;I always try to be an honest person.
bez;without;Nie mogę zrobić tego bez twojej pomocy.;I can't do it without your help.
nim;him;Widziałem go, gdy rozmawiał z nią.;I saw him when he was talking to her.
je;them;Kupiłem lody i podałem je moim przyjaciołom.;I bought ice cream and gave it to my friends.
była;she was;Ona była bardzo szczęśliwa z wyniku egzaminu.;She was very happy with the exam result.
jesteśmy;we are;Jesteśmy najlepszymi przyjaciółmi.;We are the best friends.
dzięki;thanks;Dzięki za pomoc.;Thanks for your help.
pan;sir, Mr.;Dzień dobry, panie Kowalski.;Good morning, Mr. Kowalski.
ze;from;Wróciłem ze szkoły.;I came back from school.
dobra;good, okay;Dobra robota!;Good job!
nim;before, with;Musisz się upewnić nim zacznie się deszcz.;You need to make sure before it starts raining.
tej;this, of this;Chcę kupić tę książkę.;I want to buy this book.
moja;my, mine;To jest moja siostra.;This is my sister.
trochę;a little, a bit;Czy możesz mi pomóc trochę?;Can you help me a little?
ktoś;someone;Ktoś dzwonił do ciebie.;Someone called you.
musisz;you must, you have to;Musisz to zrobić teraz.;You have to do it now.
cześć;hi, hello;Cześć, jak się masz?;Hi, how are you?
hej;hey;Hej, co u ciebie słychać?;Hey, what's up with you?
moje;my, mine;To jest moje auto.;This is my car.
pana;sir, Mr. (accusative case);Proszę zaczekać, pana Kowalski jest wywoływane.;Please wait, Mr. Kowalski is being called.
musimy;we must, we have to;Musimy się spieszyć, żeby zdążyć na czas.;We have to hurry to be on time.
dalej;further, on;Idź dalej prosto.;Go further straight ahead.
twój;your, yours;Czy to jest twój telefon?;Is this your phone?
wszyscy;everyone, everybody;Wszyscy byli zaskoczeni tym wydarzeniem.;Everyone was surprised by this event.
chce;he/she wants;Ona chce kupić nowy samochód.;She wants to buy a new car.
który;which;Który z tych dwóch wybierasz?;Which one of these two are you choosing?
więcej;more;Chcę dowiedzieć się więcej o tym temacie.;I want to learn more about this topic.
boże;oh God;Boże, co się stało?!;Oh God, what happened?!
powiedzieć;to say, to tell;Chciałbym ci coś powiedzieć.;I would like to tell you something.
chodzi;it's about;O co chodzi w tym filmie?;What is it about in this movie?
ta;this, that (feminine);Ta książka jest bardzo interesująca.;This book is very interesting.
albo;or;Musisz wybrać albo jedno, albo drugie.;You have to choose either one or the other.
mną;with me;Zgadzam się z tobą, idźmy razem mną.;I agree with you, let's go together with me.
niech;let, may;Niech to się stanie.;Let it happen.
stało;happened;Co się stało?;What happened?
was;you (plural);Czy was widziałem wczoraj w kinie?;Did I see you (plural) at the cinema yesterday?
prostu;simply, just;Zrób to po prostu.;Just do it.
chodź;come;Chodź tutaj, pokażę ci coś.;Come here, I'll show you something.
czemu;why;Czemu nie przyszedłeś na spotkanie?;Why didn't you come to the meeting?
ludzi;people;Wielu ludzi przyszło na koncert.;Many people came to the concert.
ludzie;people;Ludzie są różni.;People are different.
przy;at, near;Mieszkam przy parku.;I live near the park.
życie;life;Ciesz się życiem.;Enjoy life.
robisz;you do;Co ty właśnie robisz?;What are you doing right now?
myślę;I think;Myślę, że masz rację.;I think you're right.
lepiej;better;Czuję się lepiej po odpoczynku.;I feel better after resting.
kim;who;Kim jest ta osoba?;Who is that person?
myślisz;you think;Co myślisz o tym pomysle?;What do you think about this idea?
miał;he had;On miał dużo pracy do zrobienia.;He had a lot of work to do.
my;we;Idziemy do kina razem, czy jesteście z nami?;We're going to the cinema together, are you coming with us?
nikt;nobody, no one;Nikt nie zna odpowiedzi na to pytanie.;Nobody knows the answer to this question.
czasu;time;Nie mam czasu teraz.;I don't have time now.
powiedz;tell;Powiedz mi prawdę.;Tell me the truth.
rzeczy;things;Muszę spakować moje rzeczy.;I need to pack my things.
twoja;your, yours (feminine);To jest twoja książka.;This is your book.
tych;these, of these;Chcę kupić jedną z tych książek.;I want to buy one of these books.
stąd;from here;Musimy pójść stąd.;We need to go from here.
niego;him;Znam jego brata, ale nie znam niego.;I know his brother, but I don't know him.
im;them;Posłałem im wiadomość z informacjami.;I sent them a message with the information.
jeden;one;Mam tylko jeden długopis.;I have only one pen.
pod;under;Klucz jest pod książką.;The key is under the book.
musi;he/she must, he/she has to;Musisz to zrobić, bo musisz.;You have to do it because you must.
siebie;oneself;Ucz się, aby polepszyć siebie.;Learn to improve yourself.
twoje;your, yours (singular);To jest twoje zdanie.;This is your opinion.
powiedział;he/she said;On powiedział, że przyjdzie później.;He said he would come later.
oczywiście;of course;Oczywiście, zawsze mogę ci pomóc.;Of course, I can always help you.
ok;okay;Ok, zrozumiałem.;Okay, I understood.
dwa;two;Mam dwa psy.;I have two dogs.
które;which;Które z tych książek jest twoje?;Which of these books is yours?
pewnie;probably;Pewnie pójdziemy na spacer wieczorem.;We will probably go for a walk in the evening.
dziś;today;Dziś jest piękna pogoda.;Today is beautiful weather.
kurwa;fuck;Nie używaj takiego słowa, to niegrzeczne.;Don't use that word, it's impolite.
wie;he/she knows;Ona wie, jak to zrobić.;She knows how to do it.
taki;such, like that;To jest taki piękny widok.;It's such a beautiful view.
aby;in order to;Muszę się nauczyć, aby zdać egzamin.;I need to study in order to pass the exam.
skąd;where from;Skąd jesteś?;Where are you from?
cholera;damn;Cholera, zgubiłem klucze.;Damn, I lost my keys.
dzieje;happens;Co się dzieje?;What's happening?
wygląda;it looks;To wygląda bardzo interesująco.;It looks very interesting.
wtedy;then;Spotkajmy się o 18:00, wtedy będziemy mogli porozmawiać.;Let's meet at 6:00 p.m., then we can talk.
mojego;my, mine (masculine);To jest dom mojego brata.;This is my brother's house.
takie;such, like that (neuter);To są takie trudne pytania.;These are such difficult questions.
ile;how much, how many;Ile masz lat?;How old are you?
wszystkie;all, every;Wszystkie książki są na półce.;All the books are on the shelf.
mieć;to have;Mam dwa psy.;I have two dogs.
dlatego;therefore, that's why;Nie mogę wyjść, dlatego że jestem chory.;I can't go out, that's why I'm sick.
znaczy;it means;Co to znaczy?;What does it mean?
będziemy;we will;Będziemy gotowi na czas.;We will be ready on time.
potem;later, afterwards;Zrobimy to potem, teraz nie mam czasu.;We will do it later, I don't have time now.
jasne;clear, of course;Czy to jest jasne dla ciebie?;Is it clear to you?
cóż;well;Cóż, nie wiem, co powiedzieć.;Well, I don't know what to say.
rozumiem;I understand;Rozumiem, o co ci chodzi.;I understand what you mean.
wam;to you (plural);Daję wam tę książkę.;I'm giving this book to you.
miejsce;place;Szukamy nowego miejsca do zamieszkania.;We are looking for a new place to live.
cały;whole, entire;Cały dzień spędziłem na sprzątaniu.;I spent the whole day cleaning.
trzeba;one must, it is necessary;Trzeba zrobić to szybko.;It is necessary to do it quickly.
moją;my, mine (feminine);To jest moja siostra.;This is my sister.
można;it's possible, one can;Tutaj można zjeść smaczne jedzenie.;Here you can eat delicious food.
jako;as;Pracuję jako nauczyciel.;I work as a teacher.
nich;them;Chciałbym porozmawiać z nimi o tym projekcie.;I would like to talk to them about this project.
szybko;quickly, fast;Muszę to zrobić szybko.;I need to do it quickly.
jakiś;some, any;Czy masz jakiś pomysł, co zrobić dzisiaj?;Do you have any idea what to do today?
mają;they have;Oni mają dużo pieniędzy.;They have a lot of money.
wszystkich;all, everyone;Zapraszam wszystkich na moje przyjęcie urodzinowe.;I invite everyone to my birthday party.
jakieś;some, any;Czy masz jakieś pytania?;Do you have any questions?
wiedzieć;to know;Chciałbym wiedzieć więcej na ten temat.;I would like to know more about this topic.
przykro;sorry;Przepraszam, że spóźniłem się. Wiem, że to przykro.;I'm sorry for being late. I know it's disappointing.
stary;old;Ten dom jest bardzo stary.;This house is very old.
zaraz;soon, right away;Zaraz będę gotowy.;I'll be ready soon.
myśli;thoughts;Mam wiele myśli na ten temat.;I have a lot of thoughts on this subject.
dzieci;children;Te dzieci bawią się w parku.;Those children are playing in the park.
nad;over, above;Ptak lata nad drzewami.;The bird is flying over the trees.
wiele;many, a lot;Mam wiele pracy do zrobienia.;I have a lot of work to do.
kochanie;sweetheart, darling;Kochanie, czy możesz mi pomóc?;Sweetheart, can you help me?
kilka;a few, several;Mam kilka pytań.;I have a few questions.
mówię;I say, I'm saying;Mówię prawdę.;I'm telling the truth.
zanim;before;Zrób to zanim będzie za późno.;Do it before it's too late.
miałem;I had;Miałem świetny dzień.;I had a great day.
kocham;I love;Kocham cię.;I love you.
świetnie;great, excellent;Czuję się świetnie.;I feel great.
tobie;to you;Mam wiadomość dla ciebie.;I have a message for you.
tyle;so much, so many;Nie miałam tyle czasu na zrobienie tego.;I didn't have so much time to do it.
robić;to do;Muszę coś zrobić.;I need to do something.
trzy;three;Mam trzy koty.;I have three cats.
kogoś;someone, somebody;Czy widziałeś kogoś w tej okolicy?;Have you seen someone around here?
ani;neither, nor;Nie mam ani czasu, ani pieniędzy.;I have neither time nor money.
pewno;surely, certainly;Pewno to zrobimy.;We will surely do it.
widzisz;you see;Widzisz, o co mi chodzi?;Do you see what I mean?
kiedyś;sometime, someday;Kiedyś to zrozumiesz.;Someday you will understand.
robi;he/she does, is doing;On robi dużo dla innych.;He does a lot for others.
widzę;I see;Widzę, co się dzieje.;I see what's happening.
jaki;what, which;Jaki film chcesz obejrzeć?;Which movie do you want to watch?
niej;her, to her;Mówię o niej.;I'm talking about her.
ojciec;father;Mój ojciec jest bardzo mądry.;My father is very wise.
zbyt;too, too much;To jest zbyt trudne dla mnie.;It's too difficult for me.
która;which (feminine);Która książka ci się podoba najbardziej?;Which book do you like the most?
przestań;stop;Przestań to robić.;Stop doing that.
sposób;way, manner;Jest wiele sposobów na rozwiązanie tego problemu.;There are many ways to solve this problem.
będą;they will, they'll be;Będą zadowoleni z twojego sukcesu.;They will be happy with your success.
aż;until, up to;Czekaj aż skończę.;Wait until I finish.
życia;life;Ciesz się życiem.;Enjoy life.
tą;this (feminine);Tą drogą dojdziesz do plaży.;This way you'll get to the beach.
żebyś;so that you;Zrób to, żebyś był zadowolony.;Do it so that you'll be happy.
długo;long;Czekałem na ciebie długo.;I waited for you for a long time.
tato;dad, daddy;Tato, czy możemy pójść na spacer?;Dad, can we go for a walk?
każdy;everyone, everybody;Każdy z nas ma swoje marzenia.;Everyone has their own dreams.
twoim;your (masculine possessive);To jest twój pies, czy jest twój?;This is your dog, is it yours?
chciałem;I wanted;Chciałem ci pomóc, ale nie mogłem.;I wanted to help you, but I couldn't.
dni;days;Spędziłem kilka dni na wakacjach.;I spent a few days on vacation.
nadzieję;hope;Mam nadzieję, że wszystko będzie dobrze.;I hope everything will be fine.
koniec;end;To jest koniec historii.;This is the end of the story.
mamo;mom, mommy;Mamo, czy możemy zjeść kolację?;Mom, can we have dinner?
swoją;your, yours (feminine possessive);To jest twoja książka, czy jest twoja?;This is your book, is it yours?
problem;problem;Mam pewien problem i potrzebuję pomocy.;I have a problem and I need help.
żyje;I live;Żyję w małym miasteczku.;I live in a small town.
potrzebuję;I need;Potrzebuję pomocy w zrozumieniu tego zadania.;I need help understanding this task.
spokój;peace, tranquility;Czas na chwilę spokoju.;Time for a moment of peace.
powiem;I will say;Powiem ci prawdę.;I will tell you the truth.
minut;minutes;Zaczekaj chwilę, to potrwa tylko kilka minut.;Wait a moment, it will only take a few minutes.
broń;weapon;Nie chcę widzieć żadnej broni na ulicach.;I don't want to see any weapons on the streets.
panu;to you (formal);Chciałbym powiedzieć panu jedną rzecz.;I would like to tell you one thing.
mógł;could;Czy mógłbyś mi pomóc?;Could you help me?
wy;you (plural);Jak się macie, wy wszyscy?;How are you all doing?
nocy;night;Czasami nie mogę spać w nocy.;Sometimes I can't sleep at night.
wciąż;still, constantly;Wciąż się uczę i rozwijam.;I'm still learning and growing.
znowu;again;Musimy to zrobić znowu.;We have to do it again.
dnia;day;To był najgorszy dzień mojego życia.;It was the worst day of my life.
zabić;to kill;Nikt nie powinien zabić drugiego człowieka.;No one should kill another human being.
drzwi;door;Zamknij drzwi, proszę.;Please close the door.
pierwszy;first;To jest mój pierwszy raz w tej restauracji.;This is my first time in this restaurant.
taka;such, like that (feminine);Taka jest moja decyzja.;That's my decision.
nasz;our, ours;To jest nasz dom.;This is our house.
posłuchaj;listen;Posłuchaj mnie, mam coś ważnego do powiedzenia.;Listen to me, I have something important to say.
ponieważ;because;Nie mogę iść na imprezę, ponieważ jestem chory.;I can't go to the party because I'm sick.
słuchaj;listen;Słuchaj uważnie, to jest bardzo ważne.;Listen carefully, this is very important.
jakie;what, which (neuter);Jakie masz plany na dzisiaj?;What are your plans for today?
gdyby;if;Gdybyś tylko mnie posłuchał, wszystko byłoby inaczej.;If only you had listened to me, everything would be different.
miło;nice, pleasant;Miło mi cię poznać.;Nice to meet you.
spójrz;look;Spójrz na ten piękny widok.;Look at this beautiful view.
sir;sir;Przepraszam, sir, czy mogę zadać pytanie?;Excuse me, sir, may I ask a question?
razie;in case;Weź parasol w razie deszczu.;Take an umbrella in case it rains.
nasze;our, ours;To są nasze dzieci.;These are our children.
dokładnie;exactly;Tak, zgadza się, dokładnie tak.;Yes, that's right, exactly.
zrobił;he/she did, he/she made;On zrobił niesamowitą pracę.;He did an amazing job.
dobre;good;To jest dobre rozwiązanie.;This is a good solution.
samo;same;Czuję to samo.;I feel the same.
nadal;still;Nadal pracuję nad tym projektem.;I'm still working on this project.
człowiek;human being, person;Jesteśmy wszyscy ludźmi i powinniśmy się szanować.;We are all human beings and we should respect each other.
twoją;your, yours (feminine possessive);To jest twoja decyzja, nie moja.;This is your decision, not mine.
znaleźć;to find;Musimy znaleźć rozwiązanie tego problemu.;We need to find a solution to this problem.
chciał;he wanted;On chciał być lekarzem od dzieciństwa.;He wanted to be a doctor since childhood.
kogo;whom;Znam kogoś, kto może ci pomóc.;I know someone who can help you.
zostać;to become, to stay;Chcę zostać lekarzem w przyszłości.;I want to become a doctor in the future.
czegoś;something;Potrzebuję czegoś do jedzenia.;I need something to eat.
wszystkim;everyone, everything;Wszystkim dziękuję za przybycie.;Thank you all for coming.
został;he stayed, he remained;On został w domu ze względu na chorobę.;He stayed at home due to illness.
roku;year;To był najlepszy rok w moim życiu.;It was the best year of my life.
mówić;to speak, to talk;Lubię mówić po angielsku.;I like to speak English.
facet;guy, man;Ten facet jest bardzo zabawny.;That guy is very funny.
mów;speak;Mów głośniej, nie słyszę cię.;Speak louder, I can't hear you.
powiedziałem;I said;Powiedziałem ci, żebyś tego nie robił.;I told you not to do it.
były;they were;Były bardzo dobrzy w tym, co robili.;They were very good at what they did.
którzy;who, which (masculine plural);Ci, którzy się starają, odnoszą sukcesy.;Those who try, succeed.
dziecko;child;To jest bardzo inteligentne dziecko.;That's a very intelligent child.
sama;alone, by myself;Zrobię to sama.;I'll do it by myself.
macie;you have (plural);Czy macie jakieś pytania?;Do you have any questions?
mówiłem;I said;Mówiłem ci, żebyś tego nie robił.;I told you not to do it.
we;in, within;Zamieszkajmy we własnym domu.;Let's live in our own house.
napisy;subtitles;Czy można włączyć napisy w filmie?;Can we turn on the subtitles in the movie?
mogą;they can, can;Oni mogą to zrobić sami.;They can do it themselves.
spokojnie;calmly, quietly;Proszę, uspokój się i mów spokojnie.;Please calm down and speak quietly.
sobą;with oneself;Musisz być zgodny ze sobą.;You need to be true to yourself.
bym;I would;Chciałbym to zrobić.;I would like to do it.
miała;she had;Ona miała dużo pracy do zrobienia.;She had a lot of work to do.
przecież;after all, anyway;Powiedziałem ci, żebyś przecież tego nie robił.;I told you not to do it anyway.
poza;besides, except;Wszyscy poszli poza nią.;Everyone went except for her.
byłeś;you were;Gdzie byłeś przez cały ten czas?;Where were you all this time?
oh;oh;Oh, nie mogę w to uwierzyć!;Oh, I can't believe it!
żadnych;no, none;Nie mam żadnych pytań.;I have no questions.
prawie;almost, nearly;Prawie skończyłem czytać tę książkę.;I have almost finished reading this book.
gdzieś;somewhere;Chcę wyjechać gdzieś na wakacje.;I want to go somewhere for vacation.
wcześniej;earlier, beforehand;Spotkajmy się wcześniej, przed spotkaniem.;Let's meet earlier, before the meeting.
dość;enough, quite;Mam dość pracy na dziś.;I have enough work for today.
lub;or;Możesz wybrać kawę lub herbatę.;You can choose coffee or tea.
moich;my, mine (plural);To są moje buty.;These are my shoes.
razy;times;Powtórz to trzy razy.;Repeat it three times.
znasz;you know;Znasz gościa, który mieszka obok mnie?;Do you know the guy who lives next to me?
mały;small, little;To jest mały pies.;This is a small dog.
ciągle;constantly, continuously;On ciągle pracuje nad swoim projektem.;He is constantly working on his project.
jakby;as if, as though;Zachowuje się jakby nic się nie stało.;He acts as if nothing happened.
wydaje;he/she seems, it seems;On wydaje się być zmęczony.;He seems tired.
mama;mom, mommy;Mama, czy możesz mi pomóc?;Mom, can you help me?
jeżeli;if;Jeżeli przyjdziesz później, to się spóźnimy.;If you come later, we'll be late.
jack;Jack;Jack jest moim najlepszym przyjacielem.;Jack is my best friend.
powinieneś;you should;Powinieneś zrobić to teraz.;You should do it now.
innego;another, different;Chcę spróbować czegoś innego.;I want to try something different.
sprawy;matter, affair;Muszę załatwić kilka spraw.;I need to take care of a few matters.
rozumiesz;you understand;Wiem, że to trudne do zrozumienia, ale spróbuj.;I know it's difficult to understand, but try.
trzymaj;hold, keep;Trzymaj się mocno.;Hold on tight.
końcu;finally, in the end;W końcu udało się osiągnąć cel.;We finally managed to achieve the goal.
powodu;because of, due to;Nie mogę przyjść z powodu innych zobowiązań.;I can't come because of other commitments.
pamiętasz;you remember;Pamiętasz, co się działo w tamtym roku?;Do you remember what happened last year?
noc;night;Dobranoc, śpij dobrze.;Goodnight, sleep well.
którą;which (feminine);Którą drogą powinniśmy iść?;Which way should we go?
wiemy;we know;Wiemy o tym wszystko.;We know all about it.
bądź;be;Bądź sobą i nie przejmuj się opinią innych.;Be yourself and don't worry about what others think.
żebym;so that I;Zrób to, żebym był dumny z ciebie.;Do it so that I can be proud of you.
numer;number;Czy możesz podać mi swój numer telefonu?;Can you give me your phone number?
oczy;eyes;Masz piękne oczy.;You have beautiful eyes.
dwie;two;Mam dwie siostry.;I have two sisters.
miejscu;place, spot;Chodźmy na to samo miejsce co zawsze.;Let's go to the same place as always.
dokąd;where to;Dokąd zmierzasz?;Where are you heading?
och;oh;Och, to jest niesamowite!;Oh, that's amazing!
pokoju;room;Wejdź do mojego pokoju, proszę.;Please come into my room.
chodźmy;let's go;Chodźmy na spacer.;Let's go for a walk.
ojca;father;Mój ojciec jest bardzo pracowity.;My father is very hardworking.
jednak;however, nevertheless;Nie zgadzam się z tobą, jednak szanuję twoją opinię.;I don't agree with you, however, I respect your opinion.
świat;world;Podróżowanie po świecie to moje marzenie.;Traveling the world is my dream.
źle;bad, wrong;Coś poszło źle.;Something went wrong.
którego;which (masculine);Widziałem film, którego mi poleciłeś.;I watched the movie you recommended.
niczego;nothing, anything;Nie widzę niczego w tej szafie.;I don't see anything in this closet.
oto;here is, here are;Oto moje klucze.;Here are my keys.
sprawa;matter, issue;To jest poważna sprawa.;This is a serious matter.
idzie;it goes, it's going;Jak idzie twój projekt?;How is your project going?
takim;such, like this;Nie lubię takich sytuacji.;I don't like situations like this.
wystarczy;it's enough, it suffices;Wystarczy już tej kłótni.;That's enough of this argument.
byłam;I was;Byłam wczoraj na spotkaniu.;I was at a meeting yesterday.
halo;hello, hey;Halo, czy mnie słyszysz?;Hello, can you hear me?
byś;you would;Gdybyś tylko wysłuchał mnie wcześniej...;If only you had listened to me earlier...
całe;whole, entire;Spędziliśmy całe popołudnie razem.;We spent the whole afternoon together.
wiedziałem;I knew;Wiedziałem, że tak się stanie.;I knew it would happen like this.
swojego;your, yours (masculine possessive);Przyjdź z swojego pokoju.;Come from your room.
śmierć;death;Strach przed śmiercią jest naturalny.;Fear of death is natural.
ręce;hands;Umyj ręce przed jedzeniem.;Wash your hands before eating.
musiał;he had to;Musiałam wyjść wcześniej.;I had to leave early.
którym;which (plural);Znajdź zdjęcie, na którym jesteśmy razem.;Find the photo in which we are together.
całą;whole, entire;Przeczytałem całą książkę w jeden wieczór.;I read the whole book in one evening.
chcą;they want;Oni chcą więcej wolności.;They want more freedom.
da;he/she will give;On ci to da.;He will give it to you.
właściwie;actually, in fact;Właściwie, nie wiem o co ci chodzi.;Actually, I don't know what you mean.
panowie;gentlemen;Witam, panowie. Jak się macie?;Hello, gentlemen. How are you?
skoro;since, as;Skoro jesteś tu, możesz mi pomóc.;Since you're here, you can help me.
czujesz;you feel;Jak się czujesz po wczorajszej imprezie?;How do you feel after yesterday's party?
dam;I will give;Dam ci wszystko, czego potrzebujesz.;I will give you everything you need.
pozwól;let, allow;Pozwól mi pomóc.;Let me help you.
wyglądasz;you look;Wyglądasz świetnie w tej sukience.;You look great in that dress.
jednego;one;Mam tylko jednego brata.;I have only one brother.
jedna;one (feminine);To jest jedna z moich ulubionych piosenek.;This is one of my favorite songs.
mówił;he said;On mówił prawdę.;He said the truth.
których;which (plural);Książka, której szukasz, jest na górze półki.;The book you're looking for is on the top shelf.
świecie;world;Chciałbym zobaczyć wiele miejsc na świecie.;I would like to see many places in the world.
patrz;look;Patrz, co tam jest!;Look, what's there!
nikogo;nobody, anyone;Nie widziałem tam nikogo.;I didn't see anyone there.
której;which (feminine);To jest restauracja, której polecam.;This is the restaurant I recommend.
powinienem;I should;Powinienem zrobić to szybko.;I should do it quickly.
jezu;geez, gosh;Jezu, co się stało?;Geez, what happened?
